size,total_sqft,bath,balcony,price
3,1626,3,3,89
3,1585,3,2,88
2,1370,2,1,56
2,1495,2,2,90
3,2000,3,2,210
3,1400,2,2,48
5,1100,5,0,135
2,1150,2,2,46
2,1080,2,1,54
3,1645,3,2,100
3,1760,3,3,176
1,595,1,1,42
2,1410,2,3,67
2,1090,2,1,31
2,1300,2,2,60
3,1890,2,2,85
2,1254,2,1,53
3,1245,2,2,68
2,1170,2,2,86
2,1193,2,1,86
2,850,2,1,25
3,1678,3,3,70
3,1600,3,3,75
3,1750,3,2,84
2,1125,2,2,62
3,2800,2,0,200
2,1000,2,1,50
4,2780,5,2,480
3,1320,2,1,38
4,2422,4,2,160
2,1100,2,1,50
2,882,2,1,30
2,845,2,1,37
2,883,2,1,39
3,1595,3,3,88
2,1280,2,0,85
2,920,2,0,35
2,1300,2,3,57
2,1450,1,0,230
3,1757,3,2,132
1,600,1,1,16
2,1240,2,1,44
2,1330,2,1,93
2,1062,2,1,42
2,1078,2,2,45
3,1460,2,2,72
1,1200,1,1,48
3,912,2,1,39
2,980,2,1,45
2,1000,2,2,40
2,1050,2,1,62
3,1875,2,2,150
2,1065,2,1,42
3,1800,3,2,180
2,1163,2,2,98
2,1098,2,1,72
3,1725,2,2,100
2,1128,2,2,75
3,1705,3,1,74
2,1418,2,2,95
2,1100,2,2,50
3,1464,3,2,56
2,812,2,2,55
2,1280,2,2,40
2,1420,2,2,136
3,2000,3,2,85
3,2800,3,1,330
3,1650,3,3,175
2,840,2,2,27
2,914,2,2,47
3,1482,2,2,83
3,1724,3,2,127
3,1670,3,3,91
2,1184,2,3,53
2,1200,2,1,55
2,927,2,2,55
2,1242,2,3,39
3,1220,3,1,35
3,1360,2,1,75
2,1180,2,2,72
3,1697,3,2,108
2,550,2,1,26
2,1225,2,1,57
3,1690,2,2,55
3,1250,2,1,80
1,1050,1,1,44
2,1027,2,2,44
3,1699,3,3,81
2,1205,2,2,58
2,950,2,3,39
3,1476,3,1,120
2,1070,2,1,55
3,2160,4,2,172
2,1296,2,1,75
3,1570,3,3,64
2,1300,2,3,110
4,1550,2,2,65
2,770,1,1,40
3,1429,3,3,86
3,1167,2,2,39
2,1035,2,1,41
3,1188,2,2,38
1,884,2,2,36
2,1194,2,2,46
2,1026,2,1,60
2,1115,2,2,50
4,2690,4,3,191
2,975,2,1,58
4,1900,2,1,170
2,1101,2,2,65
3,1700,3,3,135
4,3606,4,2,312
2,1258,2,2,115
4,3630,6,1,195
3,2000,3,2,250
4,2790,4,3,198
3,1494,2,2,94
3,1482,2,1,87
2,800,2,3,50
2,1185,2,2,47
2,1100,2,2,71
2,1225,2,2,150
3,1758,3,2,65
2,1145,2,2,55
2,1180,2,2,50
2,1260,2,2,58
2,1190,2,2,55
3,1691,3,2,119
4,3675,4,3,367
3,2337,4,3,292
2,1206,2,1,217
2,1140,2,1,50
2,1250,2,2,65
2,1225,2,2,48
2,800,2,2,28
2,1020,2,1,58
2,925,2,1,40
3,1510,2,1,75
3,1614,3,1,110
2,1041,2,2,65
4,3012,6,2,250
3,1530,3,2,74
3,1450,2,2,135
2,1200,2,2,75
3,1508,2,1,110
2,1188,2,3,73
4,2690,4,3,199
2,1174,2,1,76
3,1350,3,1,58
3,1870,3,3,185
2,1072,2,1,25
2,726,2,1,31
2,1345,2,2,106
2,1200,2,2,45
2,980,2,0,37
2,1050,2,1,77
2,993,2,1,39
3,1300,2,2,52
3,1743,3,2,85
3,1480,3,2,90
2,950,2,2,32
1,640,1,0,55
2,972,2,1,44
3,1840,3,3,98
2,1128,2,1,64
2,1045,2,2,42
2,955,2,3,53
3,1360,2,2,54
2,1150,2,2,63
2,1115,2,2,56
2,920,2,2,46
2,1030,2,1,41
3,1564,3,1,101
2,1045,2,1,45
2,1277,2,2,55
3,2479,3,1,215
3,1846,3,2,140
2,1100,2,0,106
3,1640,3,3,223
2,1068,2,1,40
2,1135,2,2,58
3,1925,3,2,120
3,1615,3,2,60
1,650,1,1,26
2,1150,2,3,42
3,1410,2,2,45
3,2000,3,3,207
3,1354,3,1,90
1,600,1,1,28
3,1600,3,2,88
2,1000,2,1,36
3,1130,3,1,38
2,1238,2,1,67
3,2204,2,3,305
3,1364,2,3,46
2,900,2,1,45
3,1745,3,2,104
2,1200,2,1,53
2,1020,2,1,42
3,1650,3,2,118
3,1550,2,3,70
2,1440,2,2,60
3,1329,2,2,45
2,916,2,1,42
1,688,1,2,50
3,1358,3,3,50
2,1331,2,1,107
1,686,1,1,62
2,1050,2,2,50
3,2106,3,2,126
3,1718,3,2,90
3,1530,3,2,57
2,1206,2,2,56
2,1075,2,3,52
3,1936,2,2,54
4,2172,3,3,120
3,1100,2,2,75
2,1117,2,3,29
3,1685,2,1,110
2,740,2,1,37
3,1800,3,2,115
3,1700,3,2,130
2,850,2,2,37
3,1891,3,1,139
2,1400,1,1,80
2,1172,2,2,82
3,1400,2,2,40
2,896,2,1,43
2,1180,2,2,65
2,850,2,1,33
1,530,1,1,18
3,1550,3,3,110
3,1699,3,3,97
4,2025,4,3,109
1,500,2,2,14
1,500,1,0,20
2,1146,2,1,38
3,2475,4,3,332
2,1455,2,1,145
1,765,2,2,30
3,1521,3,1,94
3,1600,2,2,55
3,3155,4,2,370
3,1765,3,3,105
3,1980,3,2,88
2,1265,2,3,70
2,1034,2,3,40
2,1012,2,1,59
2,1070,2,1,54
3,1270,2,2,70
3,2045,4,3,154
3,1490,2,2,98
2,883,2,1,40
1,671,1,1,36
2,1156,2,2,32
3,2017,3,2,125
4,3122,6,2,235
3,1635,3,1,62
2,1296,2,1,89
2,1139,2,2,62
2,1230,3,2,47
1,581,2,1,25
2,1245,2,1,86
4,3951,4,2,220
2,550,1,1,15
1,360,1,1,26
3,1350,3,1,55
3,1670,3,2,120
3,1600,2,2,65
2,1307,2,2,51
3,1050,2,1,57
3,1210,2,1,58
2,1025,2,1,29
2,1140,2,2,43
3,1343,2,2,56
3,1560,3,2,85
2,925,2,2,51
3,1420,2,2,75
2,1415,2,3,110
2,1210,2,2,60
3,1852,3,2,160
3,1250,3,2,50
2,1100,2,1,65
2,1150,2,1,40
2,1100,2,1,53
3,1546,3,2,99
2,1424,2,2,90
3,1398,3,1,68
3,1650,3,2,200
3,1476,3,2,105
3,1322,2,2,58
2,1100,2,2,55
3,1285,2,2,68
2,1150,2,2,80
3,1430,2,2,56
3,1350,2,2,62
2,1185,2,2,65
3,1760,3,2,67
2,900,2,1,41
2,1297,2,1,105
3,1840,3,2,155
2,950,2,1,50
2,950,2,1,52
3,1571,3,2,89
2,1031,2,1,55
2,1485,2,1,90
2,1109,2,1,60
3,2200,3,2,180
1,950,1,1,50
2,1161,2,1,55
3,2350,3,3,300
2,1003,2,1,40
2,1080,2,2,37
2,1255,2,2,73
2,1250,2,0,60
2,824,2,0,60
3,1875,3,1,167
3,1320,2,1,38
3,1330,2,1,47
3,1220,3,2,56
3,1111,3,1,50
2,1197,2,1,47
4,2519,5,2,185
3,1340,2,1,100
3,1837,3,3,145
2,1238,2,3,55
3,1405,2,2,59
4,1690,3,2,80
3,1620,2,1,110
3,1673,3,2,115
2,1112,2,2,40
3,1385,2,2,66
2,545,1,1,27
2,985,2,1,58
2,1080,2,1,37
2,1430,2,1,97
2,1050,2,2,43
3,1533,3,2,115
3,1750,3,2,150
2,1352,2,2,87
3,1754,3,2,125
3,1560,3,2,85
4,3012,6,2,268
3,1470,2,1,90
2,1035,2,1,45
2,1160,2,1,52
2,1100,2,2,52
1,595,1,1,31
3,1650,3,2,110
3,1875,2,3,235
4,800,4,1,80
3,1375,2,3,48
2,1235,2,1,46
1,750,1,2,25
3,1400,3,1,115
3,1270,2,2,50
2,1105,2,1,51
3,1375,2,3,85
2,1065,2,1,40
1,825,1,1,45
2,1095,2,0,40
3,1440,2,2,60
2,870,2,1,39
2,1195,2,1,84
2,1200,2,1,49
3,1530,3,3,61
3,1708,2,1,90
2,975,2,1,43
2,750,2,1,25
3,1920,3,2,130
2,1183,2,1,58
3,1550,2,2,65
2,1110,2,3,53
2,1105,2,1,38
5,2800,4,2,200
2,1000,2,2,29
2,1190,2,2,68
4,3067,4,2,230
3,1929,4,1,103
3,1525,3,1,100
3,1775,3,3,110
2,1125,2,1,63
2,900,2,2,42
2,1155,2,1,58
2,1268,2,1,73
3,1500,3,2,88
1,630,1,1,47
3,1525,3,2,65
2,1060,2,2,48
3,1687,3,3,127
3,1847,3,2,123
3,1410,2,3,53
2,1075,2,1,42
3,1500,2,1,143
2,1010,2,2,46
3,1875,3,3,110
2,983,2,1,50
2,1101,2,2,65
2,1140,2,1,76
2,1215,2,2,110
2,1007,2,3,42
3,2039,3,2,168
3,1020,3,2,110
2,1198,2,1,84
4,4000,4,1,520
2,1370,2,2,75
2,1316,2,3,55
3,1350,3,1,55
2,1050,2,1,43
2,921,2,1,34
2,1010,2,1,49
2,1015,2,1,43
2,1179,2,1,75
4,1850,4,2,86
2,870,2,1,24
3,1605,3,2,85
3,2475,4,3,320
2,1000,1,1,55
2,1200,2,2,50
2,1255,2,1,57
2,1085,2,2,30
2,1313,2,1,58
3,1934,3,2,150
2,1200,2,1,49
2,935,2,1,45
2,877,2,2,30
2,936,2,2,42
3,1470,2,2,110
2,1232,2,0,69
3,2225,4,2,169
3,1901,3,2,119
3,1819,3,2,100
3,1464,3,2,56
4,5000,4,3,290
4,1200,4,3,169
2,1256,2,1,60
2,1100,2,2,44
3,1435,3,3,70
3,1845,4,1,110
2,1140,2,2,46
2,1200,2,0,60
3,2254,3,2,170
3,1750,3,2,150
2,1020,2,1,37
1,515,1,1,25
3,1893,3,2,140
3,3025,3,0,500
2,830,2,0,34
3,1075,2,1,90
2,1200,2,1,78
2,1233,2,2,77
2,1255,2,2,65
2,1200,2,2,37
3,2145,3,2,175
2,740,2,1,34
3,1250,3,3,48
2,1210,2,2,40
3,1525,2,2,60
3,1240,2,1,84
3,1245,2,1,68
3,1075,2,1,35
2,2200,2,1,55
2,1155,2,1,60
2,1520,2,3,62
4,3122,6,2,245
2,1290,2,1,85
1,400,1,0,14
3,1340,2,3,53
2,900,2,1,95
2,987,2,1,49
3,1720,3,2,100
2,1040,2,1,50
2,1030,2,1,50
3,2556,3,2,133
3,1850,3,1,168
2,1028,2,1,31
2,1270,2,1,83
3,1655,3,1,115
2,940,2,1,40
2,1050,2,2,85
2,946,2,1,38
3,1726,3,3,145
3,2121,4,3,253
2,1404,2,1,75
3,1525,2,2,48
2,1025,2,2,57
2,860,1,1,43
3,1223,2,1,42
2,1197,2,1,47
2,1150,2,1,52
2,1040,2,2,46
2,1310,2,2,80
3,1788,3,2,98
2,1144,2,2,38
2,1070,2,2,39
2,1200,2,2,70
3,1862,3,2,120
2,970,2,2,27
3,1646,3,2,79
4,4395,4,2,242
3,1995,3,2,135
2,1085,2,1,47
2,1139,2,2,56
2,1092,2,2,44
3,1767,3,2,98
3,1692,3,2,88
3,1645,3,3,100
3,1345,2,1,57
2,1100,2,1,60
3,1408,3,3,62
3,2072,4,2,150
2,1420,2,1,158
3,1220,3,2,56
2,1300,2,1,79
2,1150,2,2,39
2,1470,2,2,86
2,1063,2,1,31
2,1311,2,2,48
4,3500,4,3,350
3,1400,2,2,55
3,1430,2,2,56
2,1060,2,2,55
3,1000,2,0,110
3,1760,3,2,145
3,2010,3,3,92
3,1480,2,2,64
3,1230,2,2,43
3,1300,3,3,65
4,4850,6,2,385
2,1100,2,1,52
3,1752,3,2,116
2,957,2,1,46
3,1942,3,2,102
2,1000,2,2,53
1,668,1,1,36
2,1089,2,1,43
3,1800,3,3,90
1,960,2,1,18
2,1036,2,3,39
3,1583,3,3,105
2,1100,2,2,65
2,1246,2,1,65
2,850,2,3,28
2,1196,2,2,51
3,1697,3,2,114
3,1567,3,3,90
2,950,2,2,45
2,1022,2,2,52
2,1018,2,0,23
2,1322,2,2,68
3,1460,2,2,58
2,990,2,1,44
3,2400,3,1,260
3,1635,2,2,85
4,3526,4,1,558
3,2770,3,1,460
3,1533,3,2,85
3,1720,3,1,134
3,2000,3,1,200
2,1185,2,2,75
2,900,2,1,27
1,395,1,1,10
2,1031,2,1,56
4,2650,4,2,240
3,1330,2,2,46
2,1259,2,2,57
3,1570,3,2,88
3,1075,2,1,36
2,1216,2,1,79
3,1428,2,2,66
2,1160,2,2,40
3,1475,3,2,70
3,1754,3,2,135
3,1639,3,1,83
3,1804,3,2,102
2,1135,2,3,55
2,1260,2,2,46
3,2160,3,2,160
2,1220,2,2,59
2,1300,2,3,65
1,605,1,1,29
2,1444,2,1,75
2,924,2,1,45
2,1000,2,1,30
2,845,2,1,29
2,700,2,1,35
2,1187,2,2,58
3,1625,3,2,55
2,1452,2,3,110
3,2357,3,2,151
2,1200,2,1,49
2,1139,2,2,56
3,1660,3,3,75
2,1170,2,3,105
2,1448,2,2,68
3,1762,3,3,110
2,1105,2,1,38
3,1825,3,1,105
2,1185,2,2,43
3,1320,2,1,38
2,1058,2,1,48
2,1220,2,2,60
2,925,2,1,25
2,1200,2,1,72
3,1160,2,2,40
3,1411,3,2,91
3,1550,3,2,78
4,3250,4,3,230
4,2503,4,0,188
4,2524,5,2,190
2,1063,2,2,42
2,1077,2,1,37
2,1200,3,2,44
4,1500,3,2,70
2,1045,2,2,76
3,1290,2,3,45
2,1400,2,1,78
3,1600,3,2,58
3,3095,3,3,375
3,1545,2,1,58
3,1680,3,1,112
2,1350,2,1,67
2,950,2,1,38
2,1050,2,2,45
3,1305,2,2,49
5,2700,7,2,125
3,1634,3,1,83
2,1352,2,2,85
2,1145,2,2,65
3,2200,3,2,190
2,1020,2,1,39
2,1168,2,1,61
2,1205,2,1,75
2,1195,2,2,100
2,1028,2,1,49
2,1175,2,2,48
3,1550,2,2,90
3,1826,3,2,165
3,1603,3,2,96
3,1350,3,1,72
1,714,1,1,28
2,1215,2,3,65
3,1405,2,2,77
2,1142,2,1,51
3,1870,3,2,90
2,1313,2,2,73
3,1945,3,3,120
3,1573,3,2,95
2,1255,2,1,92
4,1400,3,2,91
2,1235,2,2,43
3,1380,2,1,52
2,1238,2,1,67
3,1465,2,3,74
2,1418,2,2,103
3,1650,3,1,165
2,1279,2,2,48
3,2526,2,2,250
3,1845,2,1,68
3,1360,2,1,59
3,1150,2,1,75
2,1260,2,2,49
2,965,2,1,42
3,1350,2,3,48
2,1447,2,1,75
3,1229,3,1,86
2,1027,2,2,43
2,1153,2,1,48
2,1065,2,2,50
2,1030,2,3,61
2,1340,2,2,61
3,1410,2,3,44
2,1055,2,2,45
2,1304,2,1,79
4,2720,4,1,485
2,990,2,1,31
2,1035,2,1,39
2,1120,2,2,43
2,1300,2,2,73
2,1239,2,1,82
3,1403,3,3,51
2,1365,2,1,92
2,1165,2,1,135
3,1130,2,3,45
3,1776,3,2,105
2,1194,2,2,47
2,1107,2,2,33
3,2319,3,2,180
3,1520,3,3,80
3,1536,3,1,89
4,3000,4,2,240
2,1050,2,1,38
3,1850,3,2,146
2,1112,2,2,62
3,1535,3,2,72
2,1050,2,1,35
3,1250,3,2,65
2,1187,2,3,52
2,1164,2,1,56
3,1395,2,1,62
3,2072,3,2,108
3,1450,3,3,60
3,1550,3,2,82
2,1315,2,2,90
4,3067,4,3,230
2,1210,2,2,72
3,1075,2,1,47
3,1215,3,1,42
3,1470,2,2,75
3,1590,2,2,125
2,1050,2,1,36
2,1306,2,1,55
3,2000,3,2,250
3,1445,3,2,64
3,1220,3,2,58
2,1215,2,1,51
3,1920,2,1,88
2,1390,2,2,60
2,1196,2,0,71
3,1550,2,2,75
2,1418,2,2,101
3,1655,3,2,115
2,1115,2,2,33
2,1170,2,2,68
2,1035,2,2,38
3,1306,2,2,58
2,750,2,2,22
3,1917,3,3,122
3,1615,3,3,58
2,1071,2,2,52
2,1325,2,2,119
3,1400,2,1,88
2,1246,2,1,82
2,1215,2,0,40
2,1200,2,2,49
2,1200,2,2,60
2,945,2,2,50
2,1175,2,1,52
2,920,2,1,63
4,3024,5,1,350
2,955,1,2,34
3,1750,3,3,100
3,1425,2,2,64
3,2150,3,2,265
2,1165,2,1,40
2,1050,2,2,48
3,1370,2,2,75
3,1374,2,1,72
3,1754,3,2,124
3,1847,3,2,110
3,1850,4,3,139
2,1187,2,2,45
3,1400,2,1,40
2,1350,2,3,180
1,693,1,1,34
3,1980,3,2,224
2,1021,2,1,48
2,1165,2,2,95
3,1756,3,2,92
3,1739,3,1,105
2,1215,2,2,58
2,950,2,1,46
3,1082,2,1,49
2,1050,2,1,42
2,1080,2,0,53
2,1100,2,2,55
2,1311,2,1,78
3,1608,3,1,67
2,1160,2,2,36
2,1170,2,1,71
2,1155,2,2,40
3,1255,2,1,77
2,1065,2,2,44
1,674,1,1,21
3,1936,4,2,126
3,2289,3,2,260
2,1100,2,1,38
3,2257,4,2,157
2,1055,2,2,55
3,1530,3,3,51
3,1700,3,1,97
3,1575,2,2,78
3,3500,4,2,330
2,1263,2,1,93
2,1043,2,2,65
2,1255,2,2,53
1,590,1,0,13
3,1220,3,3,56
3,1900,3,3,160
3,1360,3,3,55
2,1100,2,1,75
3,1455,3,2,73
2,1035,2,1,40
2,1152,2,2,69
2,1299,2,2,82
3,1157,2,1,75
2,1050,2,2,52
2,1050,2,2,40
2,1246,2,1,67
3,1929,3,2,115
2,1285,2,1,60
4,3161,4,3,214
3,1025,2,0,37
2,1124,3,2,80
2,1012,2,1,54
2,871,2,2,55
2,1020,2,2,40
3,1550,3,3,73
3,1410,2,2,80
2,1118,2,1,75
2,1098,2,1,68
2,1130,2,1,45
2,1145,2,2,75
2,1051,2,1,33
2,1102,2,2,53
2,1478,2,2,125
1,645,1,1,16
2,823,2,1,50
2,880,2,1,35
3,1991,4,2,100
3,1100,3,1,50
3,1745,3,2,115
2,1226,3,1,135
2,1100,2,1,70
2,1450,2,1,58
2,1150,2,1,54
3,1843,3,2,95
2,1090,3,2,44
2,1132,2,2,42
2,1375,2,2,80
1,760,1,2,50
2,1180,2,2,65
2,918,2,2,45
2,1372,2,1,61
3,1728,3,2,95
3,2215,3,1,275
2,1200,2,2,80
3,1455,2,2,56
3,1525,3,2,96
2,1204,2,3,38
2,1225,2,1,53
3,880,2,1,18
2,1005,2,1,42
3,1562,3,2,103
2,1200,2,3,42
3,1555,3,2,82
2,1190,2,2,67
2,1070,2,2,50
2,1020,2,1,42
3,1610,3,1,115
1,700,1,1,41
3,1300,2,1,49
2,1420,2,1,123
3,1069,3,2,65
3,1900,3,3,123
2,1655,2,1,97
2,1155,2,2,40
3,1300,2,2,70
2,1100,2,2,45
2,1030,2,2,42
2,2105,2,1,70
3,1700,3,2,126
3,1760,3,2,139
2,1400,2,1,67
2,1200,2,0,53
2,912,2,1,55
2,1102,2,1,48
3,1535,3,1,55
2,1243,2,2,46
2,918,2,2,63
3,1500,2,3,70
3,1476,3,0,89
2,1200,2,3,65
1,606,1,0,34
2,1100,2,3,61
3,1295,2,1,59
1,527,1,0,26
2,1300,2,2,80
2,1140,2,1,75
3,2321,4,1,128
2,1390,2,2,62
3,1725,3,3,90
4,3067,4,1,310
3,1186,2,1,63
2,1230,2,1,85
1,600,1,1,17
3,1313,3,1,96
2,1250,2,2,66
1,660,1,1,54
2,1036,2,2,105
4,2700,4,3,450
2,1100,2,1,70
2,1015,2,1,56
3,1360,2,2,65
3,2167,3,3,170
2,1200,2,1,35
2,1165,2,2,75
2,1274,2,2,70
2,1151,2,2,39
3,1626,2,2,120
2,1035,2,2,35
2,965,2,1,45
2,1070,2,1,42
3,1570,2,2,65
2,780,2,2,25
3,1000,2,1,65
3,1700,2,3,100
2,904,2,1,30
2,1121,2,1,43
3,1385,2,2,58
2,1270,2,1,69
3,1450,3,3,56
1,730,1,1,35
3,1580,3,3,53
2,1111,2,1,50
2,977,2,2,36
2,674,1,1,19
2,1290,2,1,100
2,795,2,1,32
2,700,1,1,35
2,1463,1,1,142
3,1306,2,2,58
3,2401,3,2,185
3,1875,2,3,235
3,1804,3,2,121
3,2065,4,1,210
3,1225,3,1,40
2,900,2,2,56
2,1350,2,1,91
1,700,1,0,36
2,1160,2,1,46
2,1043,2,2,55
2,1040,2,2,46
3,1357,2,2,65
2,1225,2,2,47
2,1130,2,2,40
3,1700,3,3,120
3,1549,3,2,65
2,1400,2,2,100
2,1080,2,2,50
2,1180,2,2,100
3,1800,3,2,150
2,1225,2,1,67
1,890,1,1,75
2,1005,2,1,39
2,1320,2,1,95
4,1475,2,1,50
2,1110,2,2,51
2,1128,2,1,65
2,1452,2,1,100
3,2600,4,1,135
3,2500,4,2,325
2,630,1,1,35
2,1243,2,2,48
2,960,2,2,32
3,1690,3,2,100
2,735,2,1,35
2,1365,2,2,73
5,2849,5,0,300
2,1420,2,1,99
3,1570,3,3,68
2,850,1,1,32
3,1575,2,2,110
2,1418,2,2,104
2,1050,2,1,42
2,1065,2,1,42
3,1340,3,0,90
3,1610,3,2,92
2,1160,2,1,33
2,1092,2,2,44
2,1194,2,2,47
3,1455,3,1,61
1,734,1,0,19
2,799,2,1,38
3,1896,3,1,75
2,1100,2,1,48
2,1350,2,1,79
3,1355,3,1,61
2,1128,2,1,65
3,3875,3,2,864
3,1493,3,2,82
2,1098,2,1,43
3,1900,2,1,170
3,1460,3,2,88
3,2350,4,3,285
2,1091,2,1,32
2,1180,2,3,42
2,1366,3,1,76
3,1685,3,2,95
2,1260,2,3,100
2,1346,2,1,96
1,630,1,0,13
3,1850,3,2,140
2,755,1,1,34
2,1194,2,2,46
4,4235,4,2,365
3,2250,3,1,195
2,1352,2,2,68
3,2002,3,2,112
2,1060,2,2,45
3,1419,2,1,59
2,1196,2,2,51
3,1220,2,2,35
3,1595,3,2,75
2,1260,2,3,75
2,1100,2,2,47
2,1550,2,2,140
2,1180,2,3,52
3,1662,3,2,85
2,1285,2,1,60
3,1862,3,2,119
2,1419,2,2,48
3,1410,3,2,43
3,1560,2,2,62
3,1634,3,3,78
3,1150,2,3,44
3,1616,3,1,65
2,1392,2,1,99
3,1798,3,1,120
3,1675,3,3,75
5,2000,4,1,103
3,1700,3,2,124
2,1248,2,1,69
2,1147,2,1,54
2,1100,2,2,40
3,1527,3,2,115
1,525,1,1,25
2,1100,2,3,58
2,1118,2,2,37
3,1476,3,1,75
3,2100,3,1,75
3,1215,2,2,46
2,1332,2,1,79
2,1350,2,3,49
2,1243,2,2,46
2,1105,2,2,49
2,1200,2,2,50
2,1251,2,1,47
2,883,2,1,45
3,1400,2,3,67
3,1800,3,3,260
3,1703,3,2,113
5,2500,5,3,130
2,933,2,2,43
2,1262,2,1,75
2,915,2,2,48
3,1370,2,2,61
2,1210,2,3,55
3,2392,4,2,260
2,1065,2,3,50
4,3100,4,2,570
3,1515,3,3,65
3,1445,2,3,40
3,1300,2,1,55
2,989,2,0,60
2,1300,2,1,85
3,1185,2,2,30
2,1045,2,3,60
2,1205,2,2,42
2,1260,2,1,75
3,1500,2,2,125
3,1250,2,2,42
2,1199,2,2,50
2,1385,2,1,83
2,1149,2,1,75
3,2180,3,2,170
3,1818,3,1,135
2,1070,2,2,33
3,1640,3,2,241
3,1350,2,2,54
2,630,1,1,27
2,1430,2,2,113
3,2430,4,3,180
2,1084,2,3,55
3,1186,2,1,56
2,1255,2,2,50
4,3400,5,3,240
3,1541,3,1,69
4,3596,5,1,282
2,1295,2,2,70
3,1370,2,2,54
2,1100,2,1,40
4,4772,6,2,510
2,1370,2,1,170
3,1370,2,1,54
2,1200,2,2,62
3,1220,3,2,62
2,1178,2,3,73
3,1286,3,2,61
2,1160,2,2,42
2,918,2,2,55
3,1563,3,2,91
2,1326,2,1,62
3,1350,2,2,140
4,3960,5,3,386
2,1240,2,2,39
2,1325,2,2,50
2,1100,2,1,44
3,3875,3,2,800
3,1605,3,2,50
5,5600,5,3,515
2,1260,2,1,60
3,1553,3,2,83
2,1280,2,2,52
3,1550,2,2,75
3,1445,2,2,125
3,1550,3,2,74
3,1515,2,1,80
3,1332,2,1,86
3,1652,3,2,70
3,1570,3,1,105
1,794,1,1,60
4,1650,3,1,220
3,2800,3,2,250
3,1750,3,2,110
2,1053,2,1,48
3,1100,3,2,53
3,1665,3,3,70
3,1447,3,2,80
2,1012,2,1,75
3,1900,3,2,60
2,1308,2,2,92
1,1351,2,1,53
2,1000,2,2,22
2,1140,2,2,49
3,1250,2,1,55
3,1290,3,3,45
2,1424,2,2,90
3,1320,2,2,60
3,1662,3,2,85
5,8321,5,3,2700
2,1200,2,2,45
3,1295,2,2,59
3,1777,3,2,100
3,1576,3,2,59
2,1020,2,3,41
3,2100,3,3,170
1,648,1,1,31
3,1167,2,1,38
2,1220,2,2,50
3,2350,5,1,327
2,1259,2,1,67
3,1800,3,1,80
3,1991,3,2,160
3,1665,3,3,110
2,1234,2,1,61
3,1340,2,2,64
2,1170,2,2,46
2,995,2,0,46
2,1075,2,2,60
2,1025,2,1,54
3,2721,3,2,113
3,2000,3,2,99
4,2500,4,3,155
2,1325,2,2,70
2,1314,2,3,68
3,2265,3,2,136
2,1026,2,1,41
3,1200,3,2,66
3,2220,4,2,65
2,1420,2,1,99
3,1888,4,1,95
2,1300,2,1,90
2,1216,2,0,97
3,1559,3,2,63
2,1290,2,1,87
1,905,1,1,55
2,829,2,1,22
2,1900,2,1,200
3,1300,3,2,60
2,1115,2,1,33
3,2409,3,2,360
3,2150,4,2,125
3,1305,2,1,69
2,1252,2,1,56
3,1750,3,1,130
2,545,1,1,35
2,1313,2,2,66
3,1693,3,2,108
2,1160,2,1,41
3,1255,2,2,79
2,900,2,1,45
3,1700,3,2,90
3,1875,3,1,180
3,1700,3,2,88
3,1749,3,2,115
2,1175,2,1,48
2,1280,2,1,60
2,1200,2,2,50
3,1610,2,2,115
2,1070,2,1,46
2,1127,2,1,50
2,1210,2,1,102
2,600,2,1,23
4,4190,4,3,380
2,1364,2,2,70
4,2268,3,0,146
3,1150,2,2,77
2,1146,2,1,39
2,1345,2,2,55
2,1110,2,2,41
2,750,2,1,36
2,1156,2,2,49
2,1247,2,1,59
2,1058,2,2,60
2,950,2,1,48
2,420,2,0,35
3,1520,2,1,103
2,1215,2,2,58
1,900,1,1,30
3,2350,3,2,174
2,1050,2,2,46
3,1672,3,2,150
3,1500,2,2,65
2,1400,2,2,65
2,920,2,1,37
3,1250,3,2,139
2,1140,2,2,46
2,1464,2,2,56
2,1468,3,2,130
3,1555,2,1,82
2,1150,2,0,55
2,970,2,1,35
4,2500,4,3,95
2,1166,2,1,53
3,1350,3,2,58
2,900,2,3,46
3,1300,2,2,52
3,1190,3,1,55
3,1495,2,2,75
2,1224,2,2,105
3,1350,2,2,68
2,940,2,1,56
2,1100,2,1,55
2,1300,2,2,61
3,1480,2,0,145
2,1105,2,2,46
3,1517,3,2,76
3,1615,3,2,89
3,1500,3,2,65
3,1082,3,1,50
2,1365,2,2,73
2,1000,2,3,25
2,1392,2,1,98
2,1086,2,1,33
3,1586,3,3,93
2,1100,2,1,60
2,1065,2,1,30
3,1575,2,2,120
3,1975,3,3,123
2,820,2,2,24
3,1745,3,2,110
2,1223,2,1,60
3,1200,2,1,65
2,1200,2,0,90
1,665,1,1,46
2,1351,2,2,70
3,1355,3,1,83
3,3900,3,2,300
3,1588,3,1,75
2,900,2,1,60
3,1370,2,2,75
3,1100,3,2,53
2,1247,2,0,53
3,2000,3,2,200
2,1020,2,1,68
3,1033,2,2,32
3,1460,2,3,73
2,1150,2,2,52
2,1141,2,1,46
3,1665,2,3,125
2,1295,2,2,64
2,1230,2,1,78
3,1080,2,2,75
2,1000,2,1,60
3,2400,2,0,50
3,1708,3,2,75
3,1697,3,2,115
4,3537,5,3,210
1,615,1,1,28
3,1350,2,0,83
2,1083,2,1,32
3,1460,2,2,65
2,1084,2,1,58
2,1035,2,1,41
3,2400,2,1,150
